rate_date,currency_code,exchange_rate_to_usd
2016-09-01,BRL,0.30972
2016-09-02,BRL,0.30972
2016-09-03,BRL,0.30972
2016-09-04,BRL,0.30972
2016-09-05,BRL,0.30972
2016-09-06,BRL,0.30972
2016-09-07,BRL,0.30972
2016-09-08,BRL,0.30972
2016-09-09,BRL,0.30972
2016-09-10,BRL,0.30972
2016-09-11,BRL,0.30972
2016-09-12,BRL,0.30318
2016-09-13,BRL,0.30318
2016-09-14,BRL,0.30318
2016-09-15,BRL,0.30318
2016-09-16,BRL,0.30318
2016-09-17,BRL,0.30318
2016-09-18,BRL,0.30318
2016-09-19,BRL,0.30925
2016-09-20,BRL,0.30925
2016-09-21,BRL,0.30925
2016-09-22,BRL,0.30925
2016-09-23,BRL,0.30925
2016-09-24,BRL,0.30925
2016-09-25,BRL,0.30925
2016-09-26,BRL,0.30881
2016-09-27,BRL,0.30881
2016-09-28,BRL,0.30881
2016-09-29,BRL,0.30881
2016-09-30,BRL,0.30881
2016-10-01,BRL,0.30881
2016-10-02,BRL,0.30881
2016-10-03,BRL,0.30922
2016-10-04,BRL,0.30922
2016-10-05,BRL,0.30922
2016-10-06,BRL,0.30922
2016-10-07,BRL,0.30922
2016-10-08,BRL,0.30922
2016-10-09,BRL,0.30922
2016-10-10,BRL,0.31224
2016-10-11,BRL,0.31224
2016-10-12,BRL,0.31224
2016-10-13,BRL,0.31224
2016-10-14,BRL,0.31224
2016-10-15,BRL,0.31224
2016-10-16,BRL,0.31224
2016-10-17,BRL,0.31466
2016-10-18,BRL,0.31466
2016-10-19,BRL,0.31466
2016-10-20,BRL,0.31466
2016-10-21,BRL,0.31466
2016-10-22,BRL,0.31466
2016-10-23,BRL,0.31466
2016-10-24,BRL,0.31847
2016-10-25,BRL,0.31847
2016-10-26,BRL,0.31847
2016-10-27,BRL,0.31847
2016-10-28,BRL,0.31847
2016-10-29,BRL,0.31847
2016-10-30,BRL,0.31847
2016-10-31,BRL,0.31067
2016-11-01,BRL,0.31067
2016-11-02,BRL,0.31067
2016-11-03,BRL,0.31067
2016-11-04,BRL,0.31067
2016-11-05,BRL,0.31067
2016-11-06,BRL,0.31067
2016-11-07,BRL,0.30614
2016-11-08,BRL,0.30614
2016-11-09,BRL,0.30614
2016-11-10,BRL,0.30614
2016-11-11,BRL,0.30614
2016-11-12,BRL,0.30614
2016-11-13,BRL,0.30614
2016-11-14,BRL,0.29196
2016-11-15,BRL,0.29196
2016-11-16,BRL,0.29196
2016-11-17,BRL,0.29196
2016-11-18,BRL,0.29196
2016-11-19,BRL,0.29196
2016-11-20,BRL,0.29196
2016-11-21,BRL,0.2955
2016-11-22,BRL,0.2955
2016-11-23,BRL,0.2955
2016-11-24,BRL,0.2955
2016-11-25,BRL,0.2955
2016-11-26,BRL,0.2955
2016-11-27,BRL,0.2955
2016-11-28,BRL,0.29233
2016-11-29,BRL,0.29233
2016-11-30,BRL,0.29233
2016-12-01,BRL,0.29233
2016-12-02,BRL,0.29233
2016-12-03,BRL,0.29233
2016-12-04,BRL,0.29233
2016-12-05,BRL,0.29267
2016-12-06,BRL,0.29267
2016-12-07,BRL,0.29267
2016-12-08,BRL,0.29267
2016-12-09,BRL,0.29267
2016-12-10,BRL,0.29267
2016-12-11,BRL,0.29267
2016-12-12,BRL,0.29796
2016-12-13,BRL,0.29796
2016-12-14,BRL,0.29796
2016-12-15,BRL,0.29796
2016-12-16,BRL,0.29796
2016-12-17,BRL,0.29796
2016-12-18,BRL,0.29796
2016-12-19,BRL,0.30003
2016-12-20,BRL,0.30003
2016-12-21,BRL,0.30003
2016-12-22,BRL,0.30003
2016-12-23,BRL,0.30003
2016-12-24,BRL,0.30003
2016-12-25,BRL,0.30003
2016-12-26,BRL,0.30604
2016-12-27,BRL,0.30604
2016-12-28,BRL,0.30604
2016-12-29,BRL,0.30604
2016-12-30,BRL,0.30604
2016-12-31,BRL,0.30604
2017-01-01,BRL,0.30604
2017-01-02,BRL,0.3088
2017-01-03,BRL,0.3088
2017-01-04,BRL,0.3088
2017-01-05,BRL,0.3088
2017-01-06,BRL,0.3088
2017-01-07,BRL,0.3088
2017-01-08,BRL,0.3088
2017-01-09,BRL,0.31293
2017-01-10,BRL,0.31293
2017-01-11,BRL,0.31293
2017-01-12,BRL,0.31293
2017-01-13,BRL,0.31293
2017-01-14,BRL,0.31293
2017-01-15,BRL,0.31293
2017-01-16,BRL,0.31135
2017-01-17,BRL,0.31135
2017-01-18,BRL,0.31135
2017-01-19,BRL,0.31135
2017-01-20,BRL,0.31135
2017-01-21,BRL,0.31135
2017-01-22,BRL,0.31135
2017-01-23,BRL,0.31547
2017-01-24,BRL,0.31547
2017-01-25,BRL,0.31547
2017-01-26,BRL,0.31547
2017-01-27,BRL,0.31547
2017-01-28,BRL,0.31547
2017-01-29,BRL,0.31547
2017-01-30,BRL,0.31966
2017-01-31,BRL,0.31966
2017-02-01,BRL,0.31966
2017-02-02,BRL,0.31966
2017-02-03,BRL,0.31966
2017-02-04,BRL,0.31966
2017-02-05,BRL,0.31966
2017-02-06,BRL,0.32054
2017-02-07,BRL,0.32054
2017-02-08,BRL,0.32054
2017-02-09,BRL,0.32054
2017-02-10,BRL,0.32054
2017-02-11,BRL,0.32054
2017-02-12,BRL,0.32054
2017-02-13,BRL,0.32409
2017-02-14,BRL,0.32409
2017-02-15,BRL,0.32409
2017-02-16,BRL,0.32409
2017-02-17,BRL,0.32409
2017-02-18,BRL,0.32409
2017-02-19,BRL,0.32409
2017-02-20,BRL,0.32401
2017-02-21,BRL,0.32401
2017-02-22,BRL,0.32401
2017-02-23,BRL,0.32401
2017-02-24,BRL,0.32401
2017-02-25,BRL,0.32401
2017-02-26,BRL,0.32401
2017-02-27,BRL,0.32141
2017-02-28,BRL,0.32141
2017-03-01,BRL,0.32141
2017-03-02,BRL,0.32141
2017-03-03,BRL,0.32141
2017-03-04,BRL,0.32141
2017-03-05,BRL,0.32141
2017-03-06,BRL,0.31827
2017-03-07,BRL,0.31827
2017-03-08,BRL,0.31827
2017-03-09,BRL,0.31827
2017-03-10,BRL,0.31827
2017-03-11,BRL,0.31827
2017-03-12,BRL,0.31827
2017-03-13,BRL,0.31899
2017-03-14,BRL,0.31899
2017-03-15,BRL,0.31899
2017-03-16,BRL,0.31899
2017-03-17,BRL,0.31899
2017-03-18,BRL,0.31899
2017-03-19,BRL,0.31899
2017-03-20,BRL,0.32203
2017-03-21,BRL,0.32203
2017-03-22,BRL,0.32203
2017-03-23,BRL,0.32203
2017-03-24,BRL,0.32203
2017-03-25,BRL,0.32203
2017-03-26,BRL,0.32203
2017-03-27,BRL,0.31918
2017-03-28,BRL,0.31918
2017-03-29,BRL,0.31918
2017-03-30,BRL,0.31918
2017-03-31,BRL,0.31918
2017-04-01,BRL,0.31918
2017-04-02,BRL,0.31918
2017-04-03,BRL,0.32048
2017-04-04,BRL,0.32048
2017-04-05,BRL,0.32048
2017-04-06,BRL,0.32048
2017-04-07,BRL,0.32048
2017-04-08,BRL,0.32048
2017-04-09,BRL,0.32048
2017-04-10,BRL,0.31895
2017-04-11,BRL,0.31895
2017-04-12,BRL,0.31895
2017-04-13,BRL,0.31895
2017-04-14,BRL,0.31895
2017-04-15,BRL,0.31895
2017-04-16,BRL,0.31895
2017-04-17,BRL,0.31972
2017-04-18,BRL,0.31972
2017-04-19,BRL,0.31972
2017-04-20,BRL,0.31972
2017-04-21,BRL,0.31972
2017-04-22,BRL,0.31972
2017-04-23,BRL,0.31972
2017-04-24,BRL,0.3168
2017-04-25,BRL,0.3168
2017-04-26,BRL,0.3168
2017-04-27,BRL,0.3168
2017-04-28,BRL,0.3168
2017-04-29,BRL,0.3168
2017-04-30,BRL,0.3168
2017-05-01,BRL,0.3151
2017-05-02,BRL,0.3151
2017-05-03,BRL,0.3151
2017-05-04,BRL,0.3151
2017-05-05,BRL,0.3151
2017-05-06,BRL,0.3151
2017-05-07,BRL,0.3151
2017-05-08,BRL,0.31534
2017-05-09,BRL,0.31534
2017-05-10,BRL,0.31534
2017-05-11,BRL,0.31534
2017-05-12,BRL,0.31534
2017-05-13,BRL,0.31534
2017-05-14,BRL,0.31534
2017-05-15,BRL,0.31699
2017-05-16,BRL,0.31699
2017-05-17,BRL,0.31699
2017-05-18,BRL,0.31699
2017-05-19,BRL,0.31699
2017-05-20,BRL,0.31699
2017-05-21,BRL,0.31699
2017-05-22,BRL,0.30557
2017-05-23,BRL,0.30557
2017-05-24,BRL,0.30557
2017-05-25,BRL,0.30557
2017-05-26,BRL,0.30557
2017-05-27,BRL,0.30557
2017-05-28,BRL,0.30557
2017-05-29,BRL,0.30784
2017-05-30,BRL,0.30784
2017-05-31,BRL,0.30784
2017-06-01,BRL,0.30784
2017-06-02,BRL,0.30784
2017-06-03,BRL,0.30784
2017-06-04,BRL,0.30784
2017-06-05,BRL,0.30539
2017-06-06,BRL,0.30539
2017-06-07,BRL,0.30539
2017-06-08,BRL,0.30539
2017-06-09,BRL,0.30539
2017-06-10,BRL,0.30539
2017-06-11,BRL,0.30539
2017-06-12,BRL,0.30396
2017-06-13,BRL,0.30396
2017-06-14,BRL,0.30396
2017-06-15,BRL,0.30396
2017-06-16,BRL,0.30396
2017-06-17,BRL,0.30396
2017-06-18,BRL,0.30396
2017-06-19,BRL,0.3014
2017-06-20,BRL,0.3014
2017-06-21,BRL,0.3014
2017-06-22,BRL,0.3014
2017-06-23,BRL,0.3014
2017-06-24,BRL,0.3014
2017-06-25,BRL,0.3014
2017-06-26,BRL,0.30272
2017-06-27,BRL,0.30272
2017-06-28,BRL,0.30272
2017-06-29,BRL,0.30272
2017-06-30,BRL,0.30272
2017-07-01,BRL,0.30272
2017-07-02,BRL,0.30272
2017-07-03,BRL,0.30238
2017-07-04,BRL,0.30238
2017-07-05,BRL,0.30238
2017-07-06,BRL,0.30238
2017-07-07,BRL,0.30238
2017-07-08,BRL,0.30238
2017-07-09,BRL,0.30238
2017-07-10,BRL,0.30871
2017-07-11,BRL,0.30871
2017-07-12,BRL,0.30871
2017-07-13,BRL,0.30871
2017-07-14,BRL,0.30871
2017-07-15,BRL,0.30871
2017-07-16,BRL,0.30871
2017-07-17,BRL,0.3171
2017-07-18,BRL,0.3171
2017-07-19,BRL,0.3171
2017-07-20,BRL,0.3171
2017-07-21,BRL,0.3171
2017-07-22,BRL,0.3171
2017-07-23,BRL,0.3171
2017-07-24,BRL,0.31752
2017-07-25,BRL,0.31752
2017-07-26,BRL,0.31752
2017-07-27,BRL,0.31752
2017-07-28,BRL,0.31752
2017-07-29,BRL,0.31752
2017-07-30,BRL,0.31752
2017-07-31,BRL,0.32019
2017-08-01,BRL,0.32019
2017-08-02,BRL,0.32019
2017-08-03,BRL,0.32019
2017-08-04,BRL,0.32019
2017-08-05,BRL,0.32019
2017-08-06,BRL,0.32019
2017-08-07,BRL,0.31807
2017-08-08,BRL,0.31807
2017-08-09,BRL,0.31807
2017-08-10,BRL,0.31807
2017-08-11,BRL,0.31807
2017-08-12,BRL,0.31807
2017-08-13,BRL,0.31807
2017-08-14,BRL,0.31494
2017-08-15,BRL,0.31494
2017-08-16,BRL,0.31494
2017-08-17,BRL,0.31494
2017-08-18,BRL,0.31494
2017-08-19,BRL,0.31494
2017-08-20,BRL,0.31494
2017-08-21,BRL,0.31757
2017-08-22,BRL,0.31757
2017-08-23,BRL,0.31757
2017-08-24,BRL,0.31757
2017-08-25,BRL,0.31757
2017-08-26,BRL,0.31757
2017-08-27,BRL,0.31757
2017-08-28,BRL,0.31674
2017-08-29,BRL,0.31674
2017-08-30,BRL,0.31674
2017-08-31,BRL,0.31674
2017-09-01,BRL,0.31674
2017-09-02,BRL,0.31674
2017-09-03,BRL,0.31674
2017-09-04,BRL,0.32135
2017-09-05,BRL,0.32135
2017-09-06,BRL,0.32135
2017-09-07,BRL,0.32135
2017-09-08,BRL,0.32135
2017-09-09,BRL,0.32135
2017-09-10,BRL,0.32135
2017-09-11,BRL,0.32067
2017-09-12,BRL,0.32067
2017-09-13,BRL,0.32067
2017-09-14,BRL,0.32067
2017-09-15,BRL,0.32067
2017-09-16,BRL,0.32067
2017-09-17,BRL,0.32067
2017-09-18,BRL,0.31972
2017-09-19,BRL,0.31972
2017-09-20,BRL,0.31972
2017-09-21,BRL,0.31972
2017-09-22,BRL,0.31972
2017-09-23,BRL,0.31972
2017-09-24,BRL,0.31972
2017-09-25,BRL,0.31556
2017-09-26,BRL,0.31556
2017-09-27,BRL,0.31556
2017-09-28,BRL,0.31556
2017-09-29,BRL,0.31556
2017-09-30,BRL,0.31556
2017-10-01,BRL,0.31556
2017-10-02,BRL,0.31737
2017-10-03,BRL,0.31737
2017-10-04,BRL,0.31737
2017-10-05,BRL,0.31737
2017-10-06,BRL,0.31737
2017-10-07,BRL,0.31737
2017-10-08,BRL,0.31737
2017-10-09,BRL,0.31533
2017-10-10,BRL,0.31533
2017-10-11,BRL,0.31533
2017-10-12,BRL,0.31533
2017-10-13,BRL,0.31533
2017-10-14,BRL,0.31533
2017-10-15,BRL,0.31533
2017-10-16,BRL,0.31542
2017-10-17,BRL,0.31542
2017-10-18,BRL,0.31542
2017-10-19,BRL,0.31542
2017-10-20,BRL,0.31542
2017-10-21,BRL,0.31542
2017-10-22,BRL,0.31542
2017-10-23,BRL,0.30871
2017-10-24,BRL,0.30871
2017-10-25,BRL,0.30871
2017-10-26,BRL,0.30871
2017-10-27,BRL,0.30871
2017-10-28,BRL,0.30871
2017-10-29,BRL,0.30871
2017-10-30,BRL,0.30603
2017-10-31,BRL,0.30603
2017-11-01,BRL,0.30603
2017-11-02,BRL,0.30603
2017-11-03,BRL,0.30603
2017-11-04,BRL,0.30603
2017-11-05,BRL,0.30603
2017-11-06,BRL,0.30619
2017-11-07,BRL,0.30619
2017-11-08,BRL,0.30619
2017-11-09,BRL,0.30619
2017-11-10,BRL,0.30619
2017-11-11,BRL,0.30619
2017-11-12,BRL,0.30619
2017-11-13,BRL,0.30536
2017-11-14,BRL,0.30536
2017-11-15,BRL,0.30536
2017-11-16,BRL,0.30536
2017-11-17,BRL,0.30536
2017-11-18,BRL,0.30536
2017-11-19,BRL,0.30536
2017-11-20,BRL,0.3077
2017-11-21,BRL,0.3077
2017-11-22,BRL,0.3077
2017-11-23,BRL,0.3077
2017-11-24,BRL,0.3077
2017-11-25,BRL,0.3077
2017-11-26,BRL,0.3077
2017-11-27,BRL,0.30892
2017-11-28,BRL,0.30892
2017-11-29,BRL,0.30892
2017-11-30,BRL,0.30892
2017-12-01,BRL,0.30892
2017-12-02,BRL,0.30892
2017-12-03,BRL,0.30892
2017-12-04,BRL,0.30726
2017-12-05,BRL,0.30726
2017-12-06,BRL,0.30726
2017-12-07,BRL,0.30726
2017-12-08,BRL,0.30726
2017-12-09,BRL,0.30726
2017-12-10,BRL,0.30726
2017-12-11,BRL,0.30183
2017-12-12,BRL,0.30183
2017-12-13,BRL,0.30183
2017-12-14,BRL,0.30183
2017-12-15,BRL,0.30183
2017-12-16,BRL,0.30183
2017-12-17,BRL,0.30183
2017-12-18,BRL,0.30329
2017-12-19,BRL,0.30329
2017-12-20,BRL,0.30329
2017-12-21,BRL,0.30329
2017-12-22,BRL,0.30329
2017-12-23,BRL,0.30329
2017-12-24,BRL,0.30329
2017-12-25,BRL,0.3025
2017-12-26,BRL,0.3025
2017-12-27,BRL,0.3025
2017-12-28,BRL,0.3025
2017-12-29,BRL,0.3025
2017-12-30,BRL,0.3025
2017-12-31,BRL,0.3025
2018-01-01,BRL,0.30729
2018-01-02,BRL,0.30729
2018-01-03,BRL,0.30729
2018-01-04,BRL,0.30729
2018-01-05,BRL,0.30729
2018-01-06,BRL,0.30729
2018-01-07,BRL,0.30729
2018-01-08,BRL,0.30927
2018-01-09,BRL,0.30927
2018-01-10,BRL,0.30927
2018-01-11,BRL,0.30927
2018-01-12,BRL,0.30927
2018-01-13,BRL,0.30927
2018-01-14,BRL,0.30927
2018-01-15,BRL,0.31118
2018-01-16,BRL,0.31118
2018-01-17,BRL,0.31118
2018-01-18,BRL,0.31118
2018-01-19,BRL,0.31118
2018-01-20,BRL,0.31118
2018-01-21,BRL,0.31118
2018-01-22,BRL,0.31442
2018-01-23,BRL,0.31442
2018-01-24,BRL,0.31442
2018-01-25,BRL,0.31442
2018-01-26,BRL,0.31442
2018-01-27,BRL,0.31442
2018-01-28,BRL,0.31442
2018-01-29,BRL,0.31524
2018-01-30,BRL,0.31524
2018-01-31,BRL,0.31524
2018-02-01,BRL,0.31524
2018-02-02,BRL,0.31524
2018-02-03,BRL,0.31524
2018-02-04,BRL,0.31524
2018-02-05,BRL,0.30676
2018-02-06,BRL,0.30676
2018-02-07,BRL,0.30676
2018-02-08,BRL,0.30676
2018-02-09,BRL,0.30676
2018-02-10,BRL,0.30676
2018-02-11,BRL,0.30676
2018-02-12,BRL,0.30621
2018-02-13,BRL,0.30621
2018-02-14,BRL,0.30621
2018-02-15,BRL,0.30621
2018-02-16,BRL,0.30621
2018-02-17,BRL,0.30621
2018-02-18,BRL,0.30621
2018-02-19,BRL,0.30764
2018-02-20,BRL,0.30764
2018-02-21,BRL,0.30764
2018-02-22,BRL,0.30764
2018-02-23,BRL,0.30764
2018-02-24,BRL,0.30764
2018-02-25,BRL,0.30764
2018-02-26,BRL,0.30792
2018-02-27,BRL,0.30792
2018-02-28,BRL,0.30792
2018-03-01,BRL,0.30792
2018-03-02,BRL,0.30792
2018-03-03,BRL,0.30792
2018-03-04,BRL,0.30792
2018-03-05,BRL,0.30848
2018-03-06,BRL,0.30848
2018-03-07,BRL,0.30848
2018-03-08,BRL,0.30848
2018-03-09,BRL,0.30848
2018-03-10,BRL,0.30848
2018-03-11,BRL,0.30848
2018-03-12,BRL,0.30613
2018-03-13,BRL,0.30613
2018-03-14,BRL,0.30613
2018-03-15,BRL,0.30613
2018-03-16,BRL,0.30613
2018-03-17,BRL,0.30613
2018-03-18,BRL,0.30613
2018-03-19,BRL,0.30325
2018-03-20,BRL,0.30325
2018-03-21,BRL,0.30325
2018-03-22,BRL,0.30325
2018-03-23,BRL,0.30325
2018-03-24,BRL,0.30325
2018-03-25,BRL,0.30325
2018-03-26,BRL,0.30152
2018-03-27,BRL,0.30152
2018-03-28,BRL,0.30152
2018-03-29,BRL,0.30152
2018-03-30,BRL,0.30152
2018-03-31,BRL,0.30152
2018-04-01,BRL,0.30152
2018-04-02,BRL,0.29996
2018-04-03,BRL,0.29996
2018-04-04,BRL,0.29996
2018-04-05,BRL,0.29996
2018-04-06,BRL,0.29996
2018-04-07,BRL,0.29996
2018-04-08,BRL,0.29996
2018-04-09,BRL,0.29468
2018-04-10,BRL,0.29468
2018-04-11,BRL,0.29468
2018-04-12,BRL,0.29468
2018-04-13,BRL,0.29468
2018-04-14,BRL,0.29468
2018-04-15,BRL,0.29468
2018-04-16,BRL,0.29386
2018-04-17,BRL,0.29386
2018-04-18,BRL,0.29386
2018-04-19,BRL,0.29386
2018-04-20,BRL,0.29386
2018-04-21,BRL,0.29386
2018-04-22,BRL,0.29386
2018-04-23,BRL,0.28839
2018-04-24,BRL,0.28839
2018-04-25,BRL,0.28839
2018-04-26,BRL,0.28839
2018-04-27,BRL,0.28839
2018-04-28,BRL,0.28839
2018-04-29,BRL,0.28839
2018-04-30,BRL,0.28424
2018-05-01,BRL,0.28424
2018-05-02,BRL,0.28424
2018-05-03,BRL,0.28424
2018-05-04,BRL,0.28424
2018-05-05,BRL,0.28424
2018-05-06,BRL,0.28424
2018-05-07,BRL,0.28077
2018-05-08,BRL,0.28077
2018-05-09,BRL,0.28077
2018-05-10,BRL,0.28077
2018-05-11,BRL,0.28077
2018-05-12,BRL,0.28077
2018-05-13,BRL,0.28077
2018-05-14,BRL,0.27328
2018-05-15,BRL,0.27328
2018-05-16,BRL,0.27328
2018-05-17,BRL,0.27328
2018-05-18,BRL,0.27328
2018-05-19,BRL,0.27328
2018-05-20,BRL,0.27328
2018-05-21,BRL,0.27252
2018-05-22,BRL,0.27252
2018-05-23,BRL,0.27252
2018-05-24,BRL,0.27252
2018-05-25,BRL,0.27252
2018-05-26,BRL,0.27252
2018-05-27,BRL,0.27252
2018-05-28,BRL,0.26847
2018-05-29,BRL,0.26847
2018-05-30,BRL,0.26847
2018-05-31,BRL,0.26847
2018-06-01,BRL,0.26847
2018-06-02,BRL,0.26847
2018-06-03,BRL,0.26847
2018-06-04,BRL,0.26262
2018-06-05,BRL,0.26262
2018-06-06,BRL,0.26262
2018-06-07,BRL,0.26262
2018-06-08,BRL,0.26262
2018-06-09,BRL,0.26262
2018-06-10,BRL,0.26262
2018-06-11,BRL,0.26892
2018-06-12,BRL,0.26892
2018-06-13,BRL,0.26892
2018-06-14,BRL,0.26892
2018-06-15,BRL,0.26892
2018-06-16,BRL,0.26892
2018-06-17,BRL,0.26892
2018-06-18,BRL,0.2663
2018-06-19,BRL,0.2663
2018-06-20,BRL,0.2663
2018-06-21,BRL,0.2663
2018-06-22,BRL,0.2663
2018-06-23,BRL,0.2663
2018-06-24,BRL,0.2663
2018-06-25,BRL,0.26236
2018-06-26,BRL,0.26236
2018-06-27,BRL,0.26236
2018-06-28,BRL,0.26236
2018-06-29,BRL,0.26236
2018-06-30,BRL,0.26236
2018-07-01,BRL,0.26236
2018-07-02,BRL,0.25628
2018-07-03,BRL,0.25628
2018-07-04,BRL,0.25628
2018-07-05,BRL,0.25628
2018-07-06,BRL,0.25628
2018-07-07,BRL,0.25628
2018-07-08,BRL,0.25628
2018-07-09,BRL,0.25855
2018-07-10,BRL,0.25855
2018-07-11,BRL,0.25855
2018-07-12,BRL,0.25855
2018-07-13,BRL,0.25855
2018-07-14,BRL,0.25855
2018-07-15,BRL,0.25855
2018-07-16,BRL,0.25976
2018-07-17,BRL,0.25976
2018-07-18,BRL,0.25976
2018-07-19,BRL,0.25976
2018-07-20,BRL,0.25976
2018-07-21,BRL,0.25976
2018-07-22,BRL,0.25976
2018-07-23,BRL,0.26687
2018-07-24,BRL,0.26687
2018-07-25,BRL,0.26687
2018-07-26,BRL,0.26687
2018-07-27,BRL,0.26687
2018-07-28,BRL,0.26687
2018-07-29,BRL,0.26687
2018-07-30,BRL,0.26694
2018-07-31,BRL,0.26694
2018-08-01,BRL,0.26694
2018-08-02,BRL,0.26694
2018-08-03,BRL,0.26694
2018-08-04,BRL,0.26694
2018-08-05,BRL,0.26694
2018-08-06,BRL,0.26603
2018-08-07,BRL,0.26603
2018-08-08,BRL,0.26603
2018-08-09,BRL,0.26603
2018-08-10,BRL,0.26603
2018-08-11,BRL,0.26603
2018-08-12,BRL,0.26603
2018-08-13,BRL,0.25604
2018-08-14,BRL,0.25604
2018-08-15,BRL,0.25604
2018-08-16,BRL,0.25604
2018-08-17,BRL,0.25604
2018-08-18,BRL,0.25604
2018-08-19,BRL,0.25604
2018-08-20,BRL,0.24905
2018-08-21,BRL,0.24905
2018-08-22,BRL,0.24905
2018-08-23,BRL,0.24905
2018-08-24,BRL,0.24905
2018-08-25,BRL,0.24905
2018-08-26,BRL,0.24905
2018-08-27,BRL,0.24232
2018-08-28,BRL,0.24232
2018-08-29,BRL,0.24232
2018-08-30,BRL,0.24232
2018-08-31,BRL,0.24232
2018-09-01,BRL,0.24232
2018-09-02,BRL,0.24232
2018-09-03,BRL,0.24202
2018-09-04,BRL,0.24202
2018-09-05,BRL,0.24202
2018-09-06,BRL,0.24202
2018-09-07,BRL,0.24202
2018-09-08,BRL,0.24202
2018-09-09,BRL,0.24202
2018-09-10,BRL,0.24169
2018-09-11,BRL,0.24169
2018-09-12,BRL,0.24169
2018-09-13,BRL,0.24169
2018-09-14,BRL,0.24169
2018-09-15,BRL,0.24169
2018-09-16,BRL,0.24169
2018-09-17,BRL,0.24169
2018-09-18,BRL,0.24169
2018-09-19,BRL,0.24169
2018-09-20,BRL,0.24169
2018-09-21,BRL,0.24169
2018-09-22,BRL,0.24169
2018-09-23,BRL,0.24169
2018-09-24,BRL,0.24592
2018-09-25,BRL,0.24592
2018-09-26,BRL,0.24592
2018-09-27,BRL,0.24592
2018-09-28,BRL,0.24592
2018-09-29,BRL,0.24592
2018-09-30,BRL,0.24592
2018-10-01,BRL,0.25427
2018-10-02,BRL,0.25427
2018-10-03,BRL,0.25427
2018-10-04,BRL,0.25427
2018-10-05,BRL,0.25427
2018-10-06,BRL,0.25427
2018-10-07,BRL,0.25427
2018-10-08,BRL,0.2663
2018-10-09,BRL,0.2663
2018-10-10,BRL,0.2663
2018-10-11,BRL,0.2663
2018-10-12,BRL,0.2663
2018-10-13,BRL,0.2663
2018-10-14,BRL,0.2663
2018-10-15,BRL,0.26898
2018-10-16,BRL,0.26898
2018-10-17,BRL,0.26898
2018-10-18,BRL,0.26898
2018-10-19,BRL,0.26898
2018-10-20,BRL,0.26898
2018-10-21,BRL,0.26898
2018-10-22,BRL,0.26984
2018-10-23,BRL,0.26984
2018-10-24,BRL,0.26984
2018-10-25,BRL,0.26984
2018-10-26,BRL,0.26984
2018-10-27,BRL,0.26984
2018-10-28,BRL,0.26984
2018-10-29,BRL,0.27119
2018-10-30,BRL,0.27119
2018-10-31,BRL,0.27119
2018-11-01,BRL,0.27119
2018-11-02,BRL,0.27119
2018-11-03,BRL,0.27119
2018-11-04,BRL,0.27119
2018-11-05,BRL,0.26747
2018-11-06,BRL,0.26747
2018-11-07,BRL,0.26747
2018-11-08,BRL,0.26747
2018-11-09,BRL,0.26747
2018-11-10,BRL,0.26747
2018-11-11,BRL,0.26747
2018-11-12,BRL,0.2651
2018-11-13,BRL,0.2651
2018-11-14,BRL,0.2651
2018-11-15,BRL,0.2651
2018-11-16,BRL,0.2651
2018-11-17,BRL,0.2651
2018-11-18,BRL,0.2651
2018-11-19,BRL,0.26435
2018-11-20,BRL,0.26435
2018-11-21,BRL,0.26435
2018-11-22,BRL,0.26435
2018-11-23,BRL,0.26435
2018-11-24,BRL,0.26435
2018-11-25,BRL,0.26435
2018-11-26,BRL,0.25887
2018-11-27,BRL,0.25887
2018-11-28,BRL,0.25887
2018-11-29,BRL,0.25887
2018-11-30,BRL,0.25887
2018-12-01,BRL,0.25887
2018-12-02,BRL,0.25887
2018-12-03,BRL,0.25892
2018-12-04,BRL,0.25892
2018-12-05,BRL,0.25892
2018-12-06,BRL,0.25892
2018-12-07,BRL,0.25892
2018-12-08,BRL,0.25892
2018-12-09,BRL,0.25892
2018-12-10,BRL,0.257
2018-12-11,BRL,0.257
2018-12-12,BRL,0.257
2018-12-13,BRL,0.257
2018-12-14,BRL,0.257
2018-12-15,BRL,0.257
2018-12-16,BRL,0.257
2018-12-17,BRL,0.2574
2018-12-18,BRL,0.2574
2018-12-19,BRL,0.2574
2018-12-20,BRL,0.2574
2018-12-21,BRL,0.2574
2018-12-22,BRL,0.2574
2018-12-23,BRL,0.2574
2018-12-24,BRL,0.25599
2018-12-25,BRL,0.25599
2018-12-26,BRL,0.25599
2018-12-27,BRL,0.25599
2018-12-28,BRL,0.25599
2018-12-29,BRL,0.25599
2018-12-30,BRL,0.25599
2018-12-31,BRL,0.25765
